num of runs,input 1,input 2,Objective
1,8.57,1.06,"[74.5049, -7.686400000000001]"
1,0.46,-8.2,"[-7.9883999999999995, 103.58]"
1,4.22,1.98,"[19.7884, -4.2196]"
1,0.03,-4.47,"[-4.4691, 41.83089999999999]"
1,-0.83,-7.22,"[-6.5310999999999995, 85.83839999999998]"
1,0.36,-5.58,"[-5.4504, 57.0964]"
1,-0.25,-1.86,"[-1.7975, 15.149600000000003]"
1,-0.27,-2.5,"[-2.4271, 20.52]"
1,0.21,-0.71,"[-0.6658999999999999, 7.1341]"
1,-0.12,-0.17,"[-0.15560000000000002, 4.8289]"
1,-0.02,-1.68,"[-1.6796, 13.562399999999997]"
1,-0.02,1.52,"[1.5204, 0.2504]"
1,4.74,2.26,"[24.727600000000002, -4.6724000000000006]"
1,0.16,-3.92,"[-3.8944, 34.8864]"
1,0.91,0.64,"[1.4681000000000002, 0.9395999999999997]"
1,6.61,1.78,"[45.472100000000005, -6.5616]"
1,0.26,-2.76,"[-2.6923999999999997, 22.397599999999997]"
1,0.18,-1.68,"[-1.6476, 13.362399999999997]"
1,1.17,0.98,"[2.3488999999999995, -0.12959999999999994]"
1,1.74,1.94,"[4.9676, -1.7364]"
1,-0.01,0.02,"[0.0201, 3.9303999999999997]"
1,0.45,-2.11,"[-1.9074999999999998, 16.442099999999996]"
1,-0.32,-0.27,"[-0.16760000000000003, 5.4729]"
1,-0.18,0.13,"[0.1624, 3.6769000000000007]"
1,-0.26,-1.18,"[-1.1123999999999998, 10.372399999999997]"
1,-0.43,-7.78,"[-7.5951, 96.07840000000003]"
1,2.23,2.14,"[7.1129, -2.2104]"
1,3.5,1.94,"[14.19, -3.4964]"
1,0.21,-1.59,"[-1.5459, 12.678099999999999]"
1,-0.09,1.6,"[1.6081, 0.24999999999999992]"
1,0.02,-0.8,"[-0.7996000000000001, 7.819999999999999]"
1,0.1,0.88,"[0.89, 1.1544]"
1,8.98,2.04,"[82.68040000000002, -8.9784]"
1,-0.2,-3.7,"[-3.66, 32.690000000000005]"
1,7.75,1.52,"[61.5825, -7.5196]"
1,-0.14,-1.77,"[-1.7504, 14.3529]"
1,3.99,2.7,"[18.6201, -3.5]"
1,0.02,-0.73,"[-0.7296, 7.4329]"
1,1.35,1.19,"[3.0125, -0.6939]"
1,0.02,-3.08,"[-3.0796, 25.7864]"
